PHOTO_ID,PictureURL,Category,T1_Q1,T2_Q1,T3_Q1,T1_Q2,T1_Q2,T1_Q2,T1_Familiarity,T2_Familiarity,T3_Familiarity
5759787646,http://farm3.static.flickr.com/2183/5759787646_80284aa5aa.jpg,Cowboy hat,Yes,Yes,Yes,Yes,Yes,Yes,6,5,7
2398975021,http://farm3.static.flickr.com/2401/2398975021_d29eef8ffd.jpg,Cowboy hat,Yes,Yes,Yes,Yes,Yes,Yes,6,5,7
4015630364,http://farm3.static.flickr.com/2424/4015630364_eaeed56887.jpg,Cowboy hat,Yes,Yes,Yes,Yes,Yes,Yes,6,5,7
3643283079,http://farm3.static.flickr.com/2438/3643283079_f172b26309.jpg,Cowboy hat,Yes,Yes,Yes,Yes,Yes,Yes,6,5,7
432972197,http://farm1.static.flickr.com/156/432972197_b74800c7da.jpg,Culottes,Yes,Yes,Yes,No,NotSure,No,6,1,5
60472748,http://farm1.static.flickr.com/29/60472748_c24e40cf1f.jpg,Culottes,Yes,Yes,Yes,No,NotSure,No,6,1,5
73486425,http://farm1.static.flickr.com/34/73486425_a50694a2c9.jpg,Culottes,Yes,Yes,Yes,No,No,No,6,1,5
2383936460,http://farm3.static.flickr.com/2357/2383936460_9b865ea70e.jpg,Culottes,Yes,Yes,Yes,No,NotSure,No,6,1,5
2933133891,http://farm4.static.flickr.com/3010/2933133891_d892941e7a.jpg,Culottes,No,No,No,No,No,No,6,5,6
2933990674,http://farm4.static.flickr.com/3015/2933990674_4a551d1237.jpg,Culottes,No,No,No,No,No,No,6,5,6
2383936530,http://farm4.static.flickr.com/3029/2383936530_d13b4c1e0d.jpg,Culottes,No,NotSure,No,No,No,No,6,5,6
3564415008,http://farm4.static.flickr.com/3051/3564415008_e6dd005a50.jpg,Culottes,Yes,NotSure,Yes,No,No,No,6,5,6
6661712513,http://farm8.static.flickr.com/7161/6661712513_9516c9ed9f.jpg,Culottes,Yes,Yes,Yes,Yes,No,No,7,6,5
20530924,http://farm1.static.flickr.com/16/20530924_9f588a72aa.jpg,Cummerbund,Yes,Yes,Yes,Yes,NotSure,Yes,2,,1
20530734,http://farm1.static.flickr.com/17/20530734_231c66c1d6.jpg,Cummerbund,Yes,Yes,Yes,Yes,NotSure,Yes,2,,1
20531174,http://farm1.static.flickr.com/17/20531174_9047a7d142.jpg,Cummerbund,Yes,Yes,,,NotSure,Yes,2,,1
543380930,http://farm2.static.flickr.com/1119/543380930_b9e27f567f.jpg,Cummerbund,Yes,Yes,Yes,Yes,NotSure,Yes,2,,1
47879168,http://farm1.static.flickr.com/27/47879168_fd79f029ae.jpg,Cut and sew,Yes,Yes,Yes,No,Yes,No,1,3,5
2417826607,http://farm3.static.flickr.com/2057/2417826607_ef9e9b0176.jpg,Cut and sew,Yes,Yes,Yes,Yes,No,Yes,1,3,5
2418642596,http://farm3.static.flickr.com/2334/2418642596_218bfa12cc.jpg,Cut and sew,Yes,Yes,Yes,Yes,No,Yes,1,3,5
4439468727,http://farm3.static.flickr.com/2791/4439468727_30e55ca90a.jpg,Cut and sew,No,No,No,No,No,No,1,3,5
309368513,http://farm1.static.flickr.com/103/309368513_fab300ccd6.jpg,Deerstalker,NotSure,No,No,NotSure,No,No,5,7,6
19953522,http://farm1.static.flickr.com/14/19953522_dbec56ed64.jpg,Deerstalker,Yes,Yes,Yes,No,No,No,5,7,6
19953199,http://farm1.static.flickr.com/16/19953199_11a7ff80f7.jpg,Deerstalker,Yes,Yes,Yes,Yes,Yes,Yes,5,7,6
2321628609,http://farm3.static.flickr.com/2151/2321628609_afc17017bd.jpg,Deerstalker,No,Yes,Yes,Yes,NotSure,Yes,5,7,6
4291687336,http://farm5.static.flickr.com/4062/4291687336_c30e9a82ce.jpg,Drawstring,Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
4310255114,http://farm5.static.flickr.com/4064/4310255114_852da2e7f5.jpg,Drawstring,Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
4831050025,http://farm5.static.flickr.com/4085/4831050025_a73703a223.jpg,Drawstring,Yes,Yes,Yes,Yes,Yes,Yes,7,7,7
6204338539,http://farm7.static.flickr.com/6157/6204338539_09bf75b923.jpg,Drawstring,No,Yes,Yes,No,No,No,7,7,7
3221029446,http://farm4.static.flickr.com/3494/3221029446_7bf9ae6f9c.jpg,Fake fur,Yes,Yes,No,No,Yes,Yes,7,7,7
3286790686,http://farm4.static.flickr.com/3497/3286790686_c453d5bee6.jpg,Fake fur,Yes,Yes,Yes,No,No,No,7,7,7
4042741912,http://farm4.static.flickr.com/3501/4042741912_5e2a63a397.jpg,Fake fur,NotSure,Yes,No,Yes,Yes,Yes,7,7,7
4032148576,http://farm4.static.flickr.com/3503/4032148576_6119f6f2b7.jpg,Fake fur,No,No,No,No,No,No,7,7,7
6670878087,http://farm8.static.flickr.com/7033/6670878087_1c81168b9f.jpg,Falsies,NotSure,No,No,NotSure,No,No,,2,5
6670873647,http://farm8.static.flickr.com/7143/6670873647_0ba17919f5.jpg,Falsies,NotSure,No,No,NotSure,No,No,,2,5
6670874873,http://farm8.static.flickr.com/7162/6670874873_fed4784bcb.jpg,Falsies,NotSure,No,No,NotSure,No,No,,2,5
6354593179,http://farm7.static.flickr.com/6093/6354593179_1b12e52561.jpg,Faluche,Yes,Yes,Yes,No,No,No,5,1,6
6354116677,http://farm7.static.flickr.com/6095/6354116677_575249b0ea.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,5,1,6
6354302683,http://farm7.static.flickr.com/6095/6354302683_eda247dcd1.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,5,1,6
6354158137,http://farm7.static.flickr.com/6097/6354158137_638d0e6aba.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,5,1,6
6354166481,http://farm7.static.flickr.com/6098/6354166481_19686f0479.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,6,1
6354553611,http://farm7.static.flickr.com/6098/6354553611_d647e323ba.jpg,Faluche,Yes,Yes,Yes,Yes,Yes,Yes,6,6,1
