"PHOTO_ID","NOTE_ID","AUTHOR_ID","AUTHOR_NAME","X","Y","W","H","NOTE_TEXT"
"4031397045","72157622672954712","53706612@N00","",56,71,50,50,"cloth sissors"
"4031397045","72157622548501903","53706612@N00","",127,71,50,50,"hot glue gun"
"4031397045","72157622672956208","53706612@N00","",55,180,50,50,"inner helmets"
"4031397045","72157622672956948","53706612@N00","",153,144,50,50,"glue"
"4031397045","72157622548506413","53706612@N00","",142,226,50,50,"polystyrene half shperes"
"4031397045","72157622672960634","53706612@N00","",279,94,50,50,"fake flower"
"4031397045","72157622672961246","53706612@N00","",225,280,50,50,"helmet lining"
"4031397045","72157622672962202","53706612@N00","",269,198,50,50,"beige fake fur 1m"
"4031397045","72157622548510401","53706612@N00","",399,162,50,50,"dark tortoiseshell fake fur 1m"
"4167451894","72157622867054687","45054621@N00","",182,163,68,21,"la nuit a été longue..."
"7145025035","72157629973575235","34034435@N00","",316,209,100,20,"Tundra"
"7145025035","72157629609144018","34034435@N00","",320,275,98,24,"Chantilly lace"
"4628874255","72157623988590277","41597043@N00","",199,150,68,66,"buttons"
"4628874255","72157623988591951","41597043@N00","",182,81,233,227,"flowers"
"4628874255","72157624112897924","41597043@N00","",4,145,252,230,"fruits"
"4628874255","72157623988594681","41597043@N00","",387,178,113,197,"fruits"
"6063842","244433","41894168820@N01","",262,174,24,24,"Screen Heating"
"6063842","244436","41894168820@N01","",229,113,40,51,"Lighting Battery Charge"
"6063842","244437","41894168820@N01","",83,124,40,40,"Air Pressure"
"6063842","244444","41894168820@N01","",274,150,33,37,"Emergency Stop"
"6063842","244453","41894168820@N01","",345,169,24,33,"Full Load"
"6063842","244427","41894168820@N01","",122,87,50,54,"Telephone (microphone)"
"6063842","244432","41894168820@N01","",237,177,24,24,"Head Light"
"6063842","244428","41894168820@N01","",186,180,24,24,"Drivers Light"
"6063842","244435","41894168820@N01","",168,115,50,50,"Lighting Battery Voltage"
"6063842","244429","41894168820@N01","",212,179,24,24,"Passenger Lights
(1 half | off | 2 half)"
"6063842","244472","41894168820@N01","",279,212,24,30,"Stop"
"6063842","244441","41894168820@N01","",282,115,42,41,"Car Speed"
"6063842","244442","41894168820@N01","",323,110,50,50,"Passenger Load"
"6063842","244439","41894168820@N01","",91,191,44,78,"Gripping Brake"
"6063842","244449","41894168820@N01","",305,173,24,28,"Wiper (off | half | full)"
"6063842","244451","41894168820@N01","",327,172,24,28,"Washer"
"6063842","244445","41894168820@N01","",286,187,24,24,"Safety Brake"
"6063842","244455","41894168820@N01","",368,168,24,30,"Over Load Warning Indicator"
"6063842","244458","41894168820@N01","",179,222,74,61,"Left Side Door Controls"
"6063842","244462","41894168820@N01","",217,225,35,37,"Close | Free | Open"
"6063842","244464","41894168820@N01","",254,216,27,25,"Safety Brake Indicator"
"6063842","244461","41894168820@N01","",184,247,40,27,"Open Lower Door"
"6063842","244466","41894168820@N01","",259,239,29,35,"Gripping Brake Indicator"
"6063842","244459","41894168820@N01","",173,222,49,29,"Open Upper Door"
"6063842","244467","41894168820@N01","",122,153,34,26,"Charge Fail Indicator(?)"
"6063842","244469","41894168820@N01","",120,133,25,24,"Talk"
"6063842","244474","41894168820@N01","",298,213,24,29,"All Doors Closed Indicator"
"6063842","244475","41894168820@N01","",318,214,24,24,"Slow"
"6063842","244477","41894168820@N01","",320,234,24,27,"Ready/Go Faster"
"6063842","244473","41894168820@N01","",284,239,25,32,"No Stop Next Street"
"6063842","244478","41894168820@N01","",335,211,24,24,"Control On (Lamp Test)"
"6063842","244479","41894168820@N01","",340,234,24,24,"Bell"
"6063842","244480","41894168820@N01","",362,202,61,56,"Right Side Door Controls"
"6063842","244485","41894168820@N01","",383,128,24,24,"Talk"
"6063842","244486","41894168820@N01","",434,79,66,81,"P.A. System Microphone"
"6063842","244487","41894168820@N01","",400,113,31,34,"Clock"
"6063842","244489","41894168820@N01","",296,74,86,43,"Cable Car Tickets"
"6063842","244490","41894168820@N01","",122,340,29,27,"Horn (for scaring birds and pedestrians)"
"6063842","244491","41894168820@N01","",392,291,28,28,"Keyhole to enable dashboard"
"6063842","244494","41894168820@N01","",265,118,24,42,"2 as in Cable Car #2, just in case you forgot..."
"6063842","244512","41894168820@N01","",87,162,36,27,"C???"
"4519047906","72157623848787888","31035457@N08","",348,0,50,50,"like her !!!"
"4519047906","72157623726465561","41231165@N06","",218,121,68,49,"awesome hair! :)"
"4519047906","72157623851218386","41439979@N05","",339,0,50,50," She looks out of place here. I think she is not impressed with the crowd and is thinking that the girl with the bird in her hair looks hideous.  "
"4519047906","72157623852126388","8450598@N02","",385,40,30,36,"and I think you are spot on the way she was dressed was a bit out of place she must  have been dragged here by a friend :)))"
"6555414513","72157628534510073","37457215@N02","",0,20,62,91,"Love the puzzled look"
"6864887455","72157629329979229","36989019@N08","",19,34,164,112,"<b>Summit mountain</b>"
"6864887455","72157629329985929","36989019@N08","",191,34,257,113,"<b>Calf robe mountain </b>"
"60472748","2081490","62752875@N00","",299,154,157,223,"Be careful"
"4376315389","72157623481594218","34726560@N00","",471,0,29,16,"Gorgeous shot !
Flickr very slow, can't upload comment
"
"4376315389","72157623481613966","34408161@N04","",12,0,470,257,"wonderful light and tones! great shot!"
"123640083","72157594160581924","55638925@N00","",171,177,50,50,"chi e' il tuo nuovo amico immaginario?"
"123640083","72157594160582177","55638925@N00","",232,289,50,50,"che scema...sei tu!"
"123640083","72157594160582767","55638925@N00","",248,437,50,50,"stai meglio in versione cow boy!
viani a lavorare così lunedì"
"2444297965","72157604749410076","38278390@N00","",48,112,125,83,"Geek anorak alert"
"4502790","72157612179482624","27698111@N04","",294,300,50,50,"My favorite stop"
"4502790","72157612180848058","34427466731@N01","",327,301,16,16,"rosedale is better : ]"
"2238471773","72157603843264610","34801751@N00","",211,23,47,25,"i dunno"
"455572466","72157600065386899","75895043@N00","",0,0,120,111,"<a href=""http://www.photopia.tyo.ca/rss.xml"" rel=""nofollow"">www.photopia.tyo.ca/rss.xml</a>"
"2770008771","72157608699992396","20202666@N08","",244,8,72,55,"RNLI Gecko Helmets"
"2770008771","72157608705243347","20202666@N08","",232,96,83,286,"ALB RNLI Lifejacket &amp; Waterproof Jacket"
"2770008771","72157608705247867","20202666@N08","",234,405,72,95,"Waterproof Trousers and Boots"
"14220962","597654","42345348@N00","",18,354,156,101,"Is this what I think it is?"
"14220962","602734","30783251@N00","",225,197,50,50,"i thought this was ridiculous."
"2156186053","72157603608020313","74047052@N00","",204,173,50,50,"cummerbund."
"6055337302","72157627746584484","8536261@N07","",129,327,31,31,"both sold :-)"
"5747873194","72157626899394151","11406748@N00","",210,120,31,31,"crappy radio bass tip: face the stereo to the wall to cut the high end"
"2064929661","72157603301359788","7741722@N06","",151,36,142,243,"nice shadow."
"2064929661","72157603306736164","21084602@N00","",71,12,290,343,"کراپ این قسمت هم باید عالی بشه"
"54801808","72157608587438784","93354675@N00","",409,82,35,36,"I had thought it is only for namaz."
"3210320193","72157612865274089","49873808@N00","",291,61,73,62,"notice beard. Must be a Shiite...."
"7145025035","72157629973560517","34034435@N00","",309,98,111,32,"cement gray"
"152417337","72157594143848529","51035655711@N01","",201,221,19,104,"She made me a red scarf for my birthday."
"196805560","72157594217369225","56173993@N00","",90,76,117,124,"So ornate! love it.."
"2966112699","72157608302460151","32239176@N00","",272,185,58,46,"Louie Vuitton"
"576600679","72157600411627502","96466040@N00","",18,143,351,113,"This stripe was completely invisible while I was knitting the cardigan - it only shows up under fluorescent lights!  It isn't too noticeable, thankfully."
"2891585011","72157607534095044","57503863@N00","",121,238,50,50,"pizza"
"2891585011","72157607549799181","12188177@N00","",327,317,120,58,"This car and chador"
"884101376","72157600979030621","36011708@N00","",177,102,50,50,"look at the point she is looking at !"
"884101376","72157600977108792","9169040@N04","",40,40,102,163,"اصلا بهش نميخوره ايرانى باشه .. استغفرالله"
"884101376","72157600977169542","44124425616@N01","",134,195,16,16,"به تو كه تمام اجدادت تازي بودن مي‌خوره ايراني باشي مردك؟"
"3173949093","72157622608581353","47207654@N00","",0,318,16,16,"FOTOSENCADENADAS: mujer con velo o chador"
"884101376","72157600977229084","39965910@N00","",41,183,50,50,"چون آرایش نداره نمی تونه ایرانی باشه؟ جالبه بگم که یکی از همین خانوم های ارشاد یکی رو به خاطر مانتوی گشاد ولی کوتاهش گرفته بود و آخرش بهش گفته بود یه کم آرایش کن دختر چرا این قدر بی رنگی؟
!!!"
"884101376","72157600979414409","39965910@N00","",215,139,36,29,"به نظر من به جایی نیگا نمی کنه و توی سرنوشت خودش غرقه. شاید داره فکر می کنه.  و ته دلش شرمگینه. مخصوصا که می دونه دوربین روش زوم کرده
"
"884101376","72157600979480939","9169040@N04","",175,79,82,40,"yes i see, she look on the ugly colors :)"
"884101376","72157600978327134","91596458@N00","",202,138,36,48,"kasiftar az in zana hich jaye jahan payda nemishe,..."
"884101376","72157600980887427","30544231@N00","",170,7,50,50,"Manic Street Preachers!"
"884101376","72157600981344345","56496962@N00","",232,56,50,50,"fekr nakonam dige tahala ba in nefrinaye shoma zende moonde bashe"
"884101376","72157600988457337","52797617@N00","",239,163,34,39,"man movaafegham ba Shahrzad!"
"884101376","72157601004000372","7773333@N03","",192,259,50,50,"beauty is not a sin, jealousy is"
"884101376","72157601017539955","23386684@N00","",118,198,29,29,"@فرزند صفوي: از كسي كه خودش رو فرزند دوران ننگين صفوي بدونه بيش از اين انتظار نيست...دوراني كه بيشترين بدعتها و بزرگترين خيانتها و خرافه ها را وارد  اسلام كرد!....ننگ بر تو كه به خودت اجازه مي دي به همه از دريچه تاريك نگاه واپسگرا بنگري....! "
"884101376","72157601064226140","50805705@N00","",87,6,38,34,"Death Soldiers"
"884101376","72157601285391392","46028115@N00","",82,91,50,50,"The famale officer decides to arrest this doll because she is jelous...that sucks..."
"884101376","72157603451870412","83714199@N00","",186,59,155,347,"From Head to Toe she is disgusting. She will be remembered."
"884101376","72157614670405096","21050678@N03","",157,199,38,36,"Look at that grip! what a jerk!"
"884101376","72157616543403872","26991551@N07","",0,0,341,418,"This Should NOT be happening in this day and age!
So much for the democracy and freedom of speech! "
"884101376","72157622602096102","43646367@N04","",20,1,321,69,"باید بگیرن چوب بکنن تو کس خواهرو مادر ش تا بفهمه اینجا ایران  نه جنده خونه
"
"884101376","72157623859229008","48655987@N03","",0,67,50,50,"جنده ننته عوضی ازبس آدم شیک پوش ندیدی هارشدی تازی بی چشم رو
این جواب اونیه که نوشته این جنده است"
"6028608278","72157627401955256","15486718@N00","",427,197,31,31,"Una mujer policía con chador"
"6028608278","72157627277718955","15486718@N00","",380,154,31,31,"Mujer policía con chador"
"6028608278","72157627401979116","15486718@N00","",323,144,31,31,"Mujer policía con chador"
"6028608278","72157627401981722","15486718@N00","",276,116,31,31,"Policía religiosa o del hijab"
"6028608278","72157627401999970","15486718@N00","",255,14,174,33,"Alegría del espíritu de los mártires. Salabat (saludos a Mahoma y su familia)."
"6028608278","72157627402007174","15486718@N00","",109,70,31,31,"Mujer con gorro rojo antes de entrar al coche de policía por vestir incorrectamente"
"6028608278","72157627402013668","15486718@N00","",142,134,31,31,"2 vendedores ambulantes intentando vender algo a dos transeúntes"
"6028608278","72157627277773595","15486718@N00","",97,144,31,31,"Gente esperando a un taxi compartido"
"6028608278","72157627402018570","15486718@N00","",33,144,31,31,"Vendedor ambulante"
"6028608278","72157627277779431","15486718@N00","",93,20,65,50,"Moto taxistas"
"6937956342","72157629841888509","78496245@N03","",0,0,500,238,"LOVE YOUR &quot;ANIMAL PRINT&quot; BIKINI !!!!!!!!!!!!!!!!!!!!!!  GRRRRRR YOU BRING OUT THE &quot;ANIMAL&quot; IN ME"
"7178371574","72157629779151674","56656846@N08","",41,214,376,64,"Can we untie these please?"
