"SEARCHQUERY","CRAWLTIME","RANK","ID"
"Chemise",18-JUN-12,706,"7363827520"
"Chemise",18-JUN-12,707,"7363825862"
"Chemise",18-JUN-12,708,"7178600151"
"Chemise",18-JUN-12,709,"7178599613"
"Chemise",18-JUN-12,815,"4167451894"
"Anorak",13-JUN-12,13807,"6890214202"
"Anorak",13-JUN-12,13907,"6890214202"
"Anorak",13-JUN-12,12607,"6890214202"
"Anorak",13-JUN-12,12707,"6890214202"
"Anorak",13-JUN-12,11407,"6890214202"
"Anorak",13-JUN-12,11507,"6890214202"
"Anorak",13-JUN-12,12807,"6890214202"
"Anorak",13-JUN-12,12907,"6890214202"
"Anorak",13-JUN-12,13007,"6890214202"
"Anorak",13-JUN-12,13107,"6890214202"
"Anorak",13-JUN-12,13207,"6890214202"
"Anorak",13-JUN-12,13307,"6890214202"
"Anorak",13-JUN-12,13407,"6890214202"
"Anorak",13-JUN-12,13507,"6890214202"
"Anorak",13-JUN-12,13607,"6890214202"
"Anorak",13-JUN-12,13707,"6890214202"
"Anorak",13-JUN-12,11007,"6890214202"
"Anorak",13-JUN-12,11107,"6890214202"
"Boater",15-JUN-12,5071,"7263410692"
"Boater",15-JUN-12,5075,"3819562701"
"Boater",15-JUN-12,5171,"7263410692"
"Boater",15-JUN-12,5175,"3819562701"
"Boater",15-JUN-12,7771,"7263410692"
"Boater",15-JUN-12,7775,"3819562701"
"Boater",15-JUN-12,7871,"7263410692"
"Boater",15-JUN-12,7875,"3819562701"
"Boater",15-JUN-12,5271,"7263410692"
"Boater",15-JUN-12,5275,"3819562701"
"Boater",15-JUN-12,5371,"7263410692"
"Boater",15-JUN-12,5375,"3819562701"
"Boater",15-JUN-12,5471,"7263410692"
"Boater",15-JUN-12,5475,"3819562701"
"Boater",15-JUN-12,5571,"7263410692"
"Boater",15-JUN-12,5575,"3819562701"
"Boater",15-JUN-12,5671,"7263410692"
"Boater",15-JUN-12,5675,"3819562701"
"Boater",15-JUN-12,5771,"7263410692"
"Boater",15-JUN-12,5775,"3819562701"
"Boater",15-JUN-12,5871,"7263410692"
"Boater",15-JUN-12,5875,"3819562701"
"Boater",15-JUN-12,5971,"7263410692"
"Boater",15-JUN-12,5975,"3819562701"
"Boater",15-JUN-12,6071,"7263410692"
"Boater",15-JUN-12,6075,"3819562701"
"Boater",15-JUN-12,6371,"7263410692"
"Boater",15-JUN-12,6375,"3819562701"
"Boater",15-JUN-12,6471,"7263410692"
"Boater",15-JUN-12,6475,"3819562701"
"Boater",15-JUN-12,6171,"7263410692"
"Boater",15-JUN-12,6175,"3819562701"
"Boater",15-JUN-12,6271,"7263410692"
"Boater",15-JUN-12,6275,"3819562701"
"Boater",15-JUN-12,6571,"7263410692"
"Boater",15-JUN-12,6575,"3819562701"
"Boater",15-JUN-12,6671,"7263410692"
"Boater",15-JUN-12,6675,"3819562701"
"Boater",15-JUN-12,7571,"7263410692"
"Boater",15-JUN-12,7575,"3819562701"
"Boater",15-JUN-12,7671,"7263410692"
"Boater",15-JUN-12,7675,"3819562701"
"Boater",15-JUN-12,6771,"7263410692"
"Boater",15-JUN-12,6775,"3819562701"
"Boater",15-JUN-12,6871,"7263410692"
"Boater",15-JUN-12,6875,"3819562701"
"Boater",15-JUN-12,4871,"7263410692"
"Boater",15-JUN-12,4875,"3819562701"
"Boater",15-JUN-12,4971,"7263410692"
"Boater",15-JUN-12,4975,"3819562701"
"Boater",15-JUN-12,6971,"7263410692"
"Boater",15-JUN-12,6975,"3819562701"
"Boater",15-JUN-12,7071,"7263410692"
"Boater",15-JUN-12,7075,"3819562701"
"Bespoke",14-JUN-12,2118,"4013797734"
"Bespoke",14-JUN-12,2119,"4013738194"
"Bespoke",14-JUN-12,2191,"4013029967"
"Bespoke",14-JUN-12,2192,"4012966567"
"Boater",15-JUN-12,7171,"7263410692"
"Boater",15-JUN-12,7175,"3819562701"
"Boater",15-JUN-12,7271,"7263410692"
"Boater",15-JUN-12,7275,"3819562701"
"Boater",15-JUN-12,7371,"7263410692"
"Boater",15-JUN-12,7375,"3819562701"
"Boater",15-JUN-12,7471,"7263410692"
"Boater",15-JUN-12,7475,"3819562701"
"Bespoke",14-JUN-12,2350,"6841797780"
"Bespoke",14-JUN-12,2351,"6987937829"
"Bespoke",14-JUN-12,2352,"6987924557"
"Bespoke",14-JUN-12,2400,"6987936235"
"Chemise",18-JUN-12,2108,"2706101206"
"Chemise",18-JUN-12,2252,"477084543"
"Chemise",18-JUN-12,1094,"3956502230"
"Chemise",18-JUN-12,1106,"6166927866"
"Chemise",18-JUN-12,1107,"5679697985"
"Anorak",13-JUN-12,11607,"6890214202"
"Anorak",13-JUN-12,11707,"6890214202"
"Anorak",13-JUN-12,11807,"6890214202"
"Anorak",13-JUN-12,11907,"6890214202"
"Chemise",18-JUN-12,1469,"312088187"
"Chemise",18-JUN-12,1508,"2678259310"
"Chemise",18-JUN-12,1586,"66257823"
"Anorak",13-JUN-12,12007,"6890214202"
"Anorak",13-JUN-12,12107,"6890214202"
"Chemise",18-JUN-12,1696,"4503180887"
"Anorak",13-JUN-12,12207,"6890214202"
"Anorak",13-JUN-12,12307,"6890214202"
"Chemise",18-JUN-12,1909,"3772426562"
"Anorak",13-JUN-12,12407,"6890214202"
"Anorak",13-JUN-12,12507,"6890214202"
"Chemise",18-JUN-12,601,"2942053740"
"Anorak",13-JUN-12,11207,"6890214202"
"Anorak",13-JUN-12,11307,"6890214202"
"Button",16-JUN-12,454,"184615745"
"Button",17-JUN-12,528,"5627258"
"Anorak",13-JUN-12,17207,"6890214202"
"Anorak",13-JUN-12,17307,"6890214202"
"Anorak",13-JUN-12,16607,"6890214202"
"Anorak",13-JUN-12,16707,"6890214202"
"Bikini",15-JUN-12,1720,"6970637554"
"Anorak",13-JUN-12,14007,"6890214202"
"Anorak",13-JUN-12,14107,"6890214202"
"Anorak",13-JUN-12,17407,"6890214202"
"Anorak",13-JUN-12,17507,"6890214202"
"Button",17-JUN-12,727,"4942337889"
"Anorak",13-JUN-12,17607,"6890214202"
"Anorak",13-JUN-12,17707,"6890214202"
"Anorak",13-JUN-12,14207,"6890214202"
"Anorak",13-JUN-12,14307,"6890214202"
"Anorak",13-JUN-12,17807,"6890214202"
"Anorak",13-JUN-12,17907,"6890214202"
"Anorak",13-JUN-12,16807,"6890214202"
"Anorak",13-JUN-12,16907,"6890214202"
"Button",17-JUN-12,898,"1423667468"
"Button",17-JUN-12,921,"6593094229"
"Button",17-JUN-12,984,"4628874255"
"Button",17-JUN-12,1020,"6063842"
"Chasuble",18-JUN-12,130,"285622082"
"Chasuble",18-JUN-12,133,"6807430816"
"Anorak",13-JUN-12,18007,"6890214202"
"Anorak",13-JUN-12,18107,"6890214202"
